number_of_reviews,calculated_host_listings_count,availability_365,room_type,price
0.22257551669316378,0.5,0.2219178082191781,0.0,45
0.04292527821939587,0.0,0.0,0.5,125
0.0,0.0,0.0136986301369863,0.0,70
0.0,0.0,0.1178082191780822,0.0,38
0.006359300476947536,0.0,0.0,0.0,69
0.001589825119236884,0.0,0.0,0.5,200
0.07313195548489666,0.0,0.0,0.5,180
0.0,0.0,0.0,0.5,450
0.0,0.0,0.0,0.5,108
0.0,0.0,0.024657534246575342,0.5,350
0.0,0.0,0.0,0.0,150
0.057233704292527825,0.0,0.8904109589041096,0.5,135
0.012718600953895072,0.0,0.0,0.0,125
0.0,0.0,0.0,0.5,175
0.011128775834658189,0.0,0.0,0.0,60
0.0,0.0,0.0,0.0,55
0.004769475357710652,0.0,0.0,0.5,165
0.009538950715421305,0.5,0.0136986301369863,0.0,76
0.004769475357710652,0.0,0.0,0.5,120
0.02384737678855326,0.0,0.9205479452054794,0.5,125
0.012718600953895072,0.5,0.8027397260273973,0.0,55
0.0,0.0,0.0,0.0,30
0.001589825119236884,0.0,0.0,0.5,150
0.025437201907790145,0.0,0.0,0.5,90
0.0,0.0,0.0,0.5,1500
0.007949125596184421,0.0,0.0,0.0,60
0.017488076311605726,0.5,0.8493150684931506,0.0,52
0.014308426073131956,0.0,0.052054794520547946,0.5,299
0.001589825119236884,0.0,0.452054794520548,0.5,190
0.07790143084260732,0.0,0.5506849315068493,0.5,120
0.003179650238473768,0.0,0.0,0.0,45
0.015898251192368842,0.0,0.0,0.5,300
0.5278219395866455,0.5,0.9726027397260274,0.0,96
0.044515103338632754,0.5,0.9123287671232877,0.0,55
0.0,0.0,0.9945205479452055,0.0,150
0.16852146263910972,0.0,0.008219178082191782,0.0,58
0.0397456279809221,0.0,0.0027397260273972603,0.5,160
0.004769475357710652,0.5,0.9945205479452055,0.5,260
0.21780604133545312,0.0,0.8273972602739726,0.5,170
0.011128775834658189,0.5,0.3452054794520548,0.0,55
0.0,0.0,0.0,0.5,250
0.10810810810810811,0.0,0.0,0.0,69
0.11287758346581876,0.5,0.10136986301369863,0.0,110
0.001589825119236884,0.0,0.0,0.0,30
0.06677265500794913,0.0,0.3643835616438356,0.5,165
0.041335453100158986,1.0,0.2191780821917808,0.5,200
0.012718600953895072,0.0,0.9095890410958904,0.0,200
